model,epoch,accuracy,loss,val_accuracy,val_loss
VGG16,1,0.8774999976158142,0.28380540013313293,0.8799999952316284,0.22023846209049225
VGG16,2,0.987500011920929,0.05407203361392021,0.9700000286102295,0.07418224215507507
VGG16,3,0.9975000023841858,0.019145479425787926,0.9300000071525574,0.09938699007034302
VGG16,4,1.0,0.007501937914639711,0.9700000286102295,0.05094292759895325
VGG16,5,0.9975000023841858,0.006930178962647915,0.9800000190734863,0.03866203501820564
VGG16,6,1.0,0.004658618476241827,0.9900000095367432,0.03906015679240227
VGG16,7,1.0,0.0022614561021327972,0.9900000095367432,0.03035188466310501
VGG16,8,1.0,0.002924681408330798,0.9900000095367432,0.033829424530267715
VGG16,9,1.0,0.003176276106387377,0.9800000190734863,0.03761234134435654
VGG16,10,1.0,0.0021432561334222555,0.9800000190734863,0.03978470712900162
ResNet50,1,0.5375000238418579,0.7333142161369324,0.5,0.6737189292907715
ResNet50,2,0.5274999737739563,0.6887991428375244,0.9300000071525574,0.6563068628311157
ResNet50,3,0.6150000095367432,0.6642248034477234,0.6899999976158142,0.6503192186355591
ResNet50,4,0.7524999976158142,0.6538134217262268,0.949999988079071,0.6297609806060791
ResNet50,5,0.8125,0.6482411026954651,1.0,0.619698166847229
ResNet50,6,0.8075000047683716,0.6377115249633789,0.9900000095367432,0.6152040362358093
ResNet50,7,0.8149999976158142,0.6251910328865051,0.9399999976158142,0.6077274680137634
ResNet50,8,0.7599999904632568,0.6210097074508667,0.9100000262260437,0.5971463918685913
ResNet50,9,0.8224999904632568,0.6102682948112488,1.0,0.5822499990463257
ResNet50,10,0.8374999761581421,0.596922755241394,1.0,0.5653550624847412
MobileNetV2,1,0.49000000953674316,0.7213507294654846,0.6899999976158142,0.5759897828102112
MobileNetV2,2,0.5625,0.6784713864326477,0.7699999809265137,0.5493149757385254
MobileNetV2,3,0.6675000190734863,0.6234735250473022,0.8299999833106995,0.49451395869255066
MobileNetV2,4,0.7549999952316284,0.5883030891418457,0.8299999833106995,0.48682674765586853
MobileNetV2,5,0.7524999976158142,0.5634351968765259,0.8700000047683716,0.454873651266098
MobileNetV2,6,0.8224999904632568,0.5124700665473938,0.8899999856948853,0.443688303232193
MobileNetV2,7,0.8224999904632568,0.49478691816329956,0.8999999761581421,0.4122975170612335
MobileNetV2,8,0.875,0.4556281268596649,0.9200000166893005,0.39224541187286377
MobileNetV2,9,0.8824999928474426,0.44795486330986023,1.0,0.3675566613674164
MobileNetV2,10,0.8849999904632568,0.42007994651794434,0.9900000095367432,0.35315218567848206
